Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHEL,EQ,02-Feb-2015,291.75,291.4,296.5,290.15,293.5,293.85,293.75,2902568,852643648.6,37325,688666,23.73
BHEL,EQ,03-Feb-2015,293.85,295.95,298.95,291.2,297.45,297.1,295.35,3223547,952079646.05,32359,891447,27.65
BHEL,EQ,04-Feb-2015,297.1,299,300,284,285.3,285,290.2,3373682,979058865.75,33481,878688,26.05
BHEL,EQ,05-Feb-2015,285,286.9,289.8,274.1,275,276.85,281.62,3471009,977493812.7,35997,1385952,39.93
BHEL,EQ,06-Feb-2015,276.85,276.95,279.25,263.25,263.85,264.15,268.8,4486606,1206004676.05,37983,2339814,52.15
BHEL,EQ,09-Feb-2015,264.15,261.5,266,257.1,257.45,258.55,261.78,2236122,585379826.3,24991,410365,18.35
BHEL,EQ,10-Feb-2015,258.55,255.5,267,255.5,264.4,261.5,262.23,2618338,686604992.75,27148,501987,19.17
BHEL,EQ,11-Feb-2015,261.5,263,265.05,253.6,255.5,255.45,257.68,2863208,737784890.9,32848,728649,25.45
BHEL,EQ,12-Feb-2015,255.45,254,269.4,250.75,267.05,267.7,258.85,6341588,1641548298.2,65009,943370,14.88
BHEL,EQ,13-Feb-2015,267.7,251,263.85,251,259.4,259.35,257.99,9230624,2381443018.1,101592,1925436,20.86
BHEL,EQ,16-Feb-2015,259.35,259.35,261.45,255,259.15,259.55,258.66,3271700,846266550.9,33613,347067,10.61
BHEL,EQ,18-Feb-2015,259.55,259,263.45,257.1,259.85,260.2,260.25,2269366,590596808.7,27940,441102,19.44
BHEL,EQ,19-Feb-2015,260.2,260.55,264.3,256.6,262.45,261.8,260.85,2903436,757356561.15,26944,476919,16.43
BHEL,EQ,20-Feb-2015,261.8,262.8,276.3,262.5,276,275.25,271.66,6567527,1784123230.25,68172,1778229,27.08
BHEL,EQ,23-Feb-2015,275.25,277,277,270.75,271.45,272.55,274.1,3494782,957913394.45,45278,1021341,29.22
BHEL,EQ,24-Feb-2015,272.55,273,279.35,271.05,277.4,277.75,276.56,4636893,1282365676.5,41764,1532004,33.04
BHEL,EQ,25-Feb-2015,277.75,279.5,281.75,271.75,272.4,274.2,277.8,3188306,885701328.5,40581,872215,27.36
BHEL,EQ,26-Feb-2015,274.2,272.7,276.95,262.25,268,264.45,266.12,9494852,2526776989.45,68401,4873366,51.33
BHEL,EQ,27-Feb-2015,264.45,267,272.15,265.55,271,270.9,269.71,3713631,1001609651.55,51336,1399945,37.7
BHEL,EQ,28-Feb-2015,270.9,275,279.5,252,262.7,262.15,267.32,6969310,1863027497.8,76937,1911798,27.43
BHEL,EQ,02-Mar-2015,262.15,263.45,275.3,263.45,273.4,273.75,270.62,5908940,1599088779.75,66371,2043447,34.58
BHEL,EQ,03-Mar-2015,273.75,273.75,275.8,268.15,275,274.75,272.68,3807574,1038255782.4,45906,1179541,30.98
BHEL,EQ,04-Mar-2015,274.75,276.3,278.7,268.5,270.75,270.9,273.56,3579315,979160722.55,47718,1369621,38.26
BHEL,EQ,05-Mar-2015,270.9,273,273.7,266.05,270,270.35,269.21,2098890,565032798.9,25738,499070,23.78
BHEL,EQ,09-Mar-2015,270.35,267,267.95,256.95,260,258.6,262.04,2624697,687769553.2,37317,902121,34.37
BHEL,EQ,10-Mar-2015,258.6,260,262.9,255.2,259.85,259.1,259.56,2259242,586413285.1,28330,503676,22.29
BHEL,EQ,11-Mar-2015,259.1,259.9,262.9,255.6,257.7,257.9,258.94,2891012,748599476.3,29959,665784,23.03
BHEL,EQ,12-Mar-2015,257.9,259.95,264.95,259,264.7,264.05,262.44,1995884,523796108.4,35289,719686,36.06
BHEL,EQ,13-Mar-2015,264.05,265.4,266.35,253.5,255.8,254.75,257.92,2417013,623400273.65,25918,649505,26.87
BHEL,EQ,16-Mar-2015,254.75,256.15,260.4,251.6,260,259.1,256.78,3183881,817546397,27654,1216104,38.2
BHEL,EQ,17-Mar-2015,259.1,260.4,265.8,258.25,264.5,264.8,262.23,2101750,551134777.55,24729,488799,23.26
BHEL,EQ,18-Mar-2015,264.8,265.7,266.15,256.75,257.5,257.7,259.98,2793372,726224295.55,30411,966926,34.62
BHEL,EQ,19-Mar-2015,257.7,260.85,261.8,251.9,252.5,255.6,258.29,1855140,479172780.7,21136,593050,31.97
BHEL,EQ,20-Mar-2015,255.6,253,255.4,245,246,245.75,249.01,3452751,859770708.75,51052,1202025,34.81
BHEL,EQ,23-Mar-2015,245.75,246.3,246.6,235.5,237,236.8,239.55,3644428,873031751.6,60858,1202274,32.99
BHEL,EQ,24-Mar-2015,236.8,235,242.5,233,240.7,240,238.99,3088097,738026847.7,32663,582667,18.87
BHEL,EQ,25-Mar-2015,240,240.9,241.2,235.15,236.8,236.65,236.97,2465329,584200371.55,22517,794850,32.24
BHEL,EQ,26-Mar-2015,236.65,235,244.5,234.15,236,235.85,238.58,4938159,1178133453.25,47133,1486719,30.11
BHEL,EQ,27-Mar-2015,235.85,237,238.55,228,232.65,232.8,233.12,2986735,696263937.8,29546,650700,21.79
BHEL,EQ,30-Mar-2015,232.8,235,239.9,232.2,239.35,238.75,236.48,3032158,717057626.05,35599,790056,26.06
BHEL,EQ,31-Mar-2015,238.75,239.95,242,233,236.55,235.35,237.73,3955779,940391594.85,47426,1292169,32.67
BHEL,EQ,01-Apr-2015,235.35,235.8,236,229.6,230.95,230.7,231.61,3346075,774999955,36166,1150462,34.38
BHEL,EQ,06-Apr-2015,230.7,230.35,238.4,227.6,236.6,235.1,232.26,4865660,1130106561.05,43945,1039082,21.36
BHEL,EQ,07-Apr-2015,235.1,232.5,235.25,228.7,234,233.5,232.99,2964447,690676298.25,30120,585264,19.74
BHEL,EQ,08-Apr-2015,233.5,235,239.4,234,235.3,235.9,236,3498208,825584656.55,35984,1433412,40.98
BHEL,EQ,09-Apr-2015,235.9,236.55,238.05,230.5,232.7,232.65,234.12,2387573,558980996.1,27325,765849,32.08
BHEL,EQ,10-Apr-2015,232.65,233.3,237.3,232.3,234.05,234.6,234.88,2245023,527311260.75,25254,573257,25.53
BHEL,EQ,13-Apr-2015,234.6,235,244.45,235,242.25,242.65,240.62,4011039,965129010.25,38376,1323400,32.99
BHEL,EQ,15-Apr-2015,242.65,242,243.8,230.3,230.9,232.4,236.77,4093665,969242353.95,43247,1677199,40.97
BHEL,EQ,16-Apr-2015,232.4,233.05,234.85,229.2,232.2,232,231.99,2535604,588233387.2,29531,569281,22.45
BHEL,EQ,17-Apr-2015,232,231.7,237,231.05,234.6,234.85,234.87,2421896,568827598.25,26643,608868,25.14
BHEL,EQ,20-Apr-2015,234.85,236.6,236.6,225.2,230.3,229.9,231.16,2090606,483259131.25,24245,616085,29.47
BHEL,EQ,21-Apr-2015,229.9,229.9,233.35,226,227,227,229.34,2931927,672415490.5,40567,775717,26.46
BHEL,EQ,22-Apr-2015,227,227.1,231.8,222.55,231.45,230.8,227.92,3454686,787375121.95,44690,990870,28.68
BHEL,EQ,23-Apr-2015,230.8,233.3,234.85,230.5,234.4,233.3,232.65,2097929,488090888.1,22267,567145,27.03
BHEL,EQ,24-Apr-2015,233.3,234.3,235.65,231.25,234.5,234,233.82,2854889,667526261.55,41894,1179326,41.31
BHEL,EQ,27-Apr-2015,234,235.6,235.9,225.1,226.4,226.3,229.56,2625694,602752097.05,27701,910968,34.69
BHEL,EQ,28-Apr-2015,226.3,226.5,238.6,224.7,231.7,232.95,232.28,4002208,929649253.4,46026,1346496,33.64
BHEL,EQ,29-Apr-2015,232.95,232.8,234.9,229.05,232,232.15,231.79,1879896,435742953.65,25856,618005,32.87
BHEL,EQ,30-Apr-2015,232.15,231.5,243.2,225.6,240.65,238.05,233.73,7090268,1657177479.55,62408,2696182,38.03
BHEL,EQ,04-May-2015,238.05,240.9,247,238.25,245.3,245.15,242.44,2833097,686868229.2,29211,1100457,38.84
BHEL,EQ,05-May-2015,245.15,245.5,249,242,244.5,245.15,245.13,2341074,573866068.75,35727,576038,24.61
BHEL,EQ,06-May-2015,245.15,243.5,244,228.85,230.4,229.7,234.17,3148160,737193306,42354,897977,28.52
BHEL,EQ,07-May-2015,229.7,228,233.1,224.1,228.35,228.7,228.94,2840023,650182933.5,31413,1020430,35.93
BHEL,EQ,08-May-2015,228.7,231.75,233.85,230,231.55,231.35,232.09,1465095,340034560.6,21728,307695,21
BHEL,EQ,11-May-2015,231.35,232.2,238.4,227.9,234.05,234.7,234.06,3102580,726182770.45,25679,1275469,41.11
BHEL,EQ,12-May-2015,234.7,234.7,234.8,221.55,223,222.6,225.68,3409176,769376504.25,40195,1237198,36.29
BHEL,EQ,13-May-2015,222.6,224.5,228.5,222.1,227.8,227.75,225.72,2703065,610138649.55,29808,527447,19.51
BHEL,EQ,14-May-2015,227.75,227.7,230.9,223.75,230.05,230,227.43,3076586,699693513.9,37486,1036219,33.68
BHEL,EQ,15-May-2015,230,230.4,233.9,227.1,230.7,230.95,230.81,1749429,403792752.9,18202,438458,25.06
BHEL,EQ,18-May-2015,230.95,231,235,229.4,234.3,234.55,232.7,1517001,353002585.25,17448,457652,30.17
BHEL,EQ,19-May-2015,234.55,234,239.95,232.4,234.7,235.15,236.61,2413756,571114401.3,25520,422469,17.5
BHEL,EQ,20-May-2015,235.15,235.2,237.7,229.2,230.45,231.15,233.27,2296311,535657343.65,33190,751140,32.71
BHEL,EQ,21-May-2015,231.15,231.15,233.45,227.6,232,232.45,230.84,2266767,523254157.15,26254,711929,31.41
BHEL,EQ,22-May-2015,232.45,232.9,235.65,230.5,233.75,234,233.77,1598178,373605513.95,17806,465706,29.14
BHEL,EQ,25-May-2015,234,233.05,237.35,229.3,234,234.15,232.81,2807998,653721594.8,34205,646842,23.04
BHEL,EQ,26-May-2015,234.15,231.25,246.85,230.15,246,241.45,236.88,8724859,2066703238.55,81367,2459063,28.18
BHEL,EQ,27-May-2015,241.45,240,252.8,239,250.65,249.85,246.46,6863100,1691483733.05,85306,1681062,24.49
BHEL,EQ,28-May-2015,249.85,250,254.95,246.1,250.2,252.7,251,7235621,1816110153.65,64638,2011155,27.8
BHEL,EQ,29-May-2015,252.7,250.5,258,247.45,253.9,251.65,250.61,4801981,1203401726.95,54489,1985407,41.35
BHEL,EQ,01-Jun-2015,251.65,251.1,256.65,250.5,253.6,254.05,254.21,2700848,686590773.85,29377,803617,29.75
BHEL,EQ,02-Jun-2015,254.05,255.8,257.5,248.75,251.5,251.1,252.35,3542915,894050981.3,34281,926214,26.14
BHEL,EQ,03-Jun-2015,251.1,253.1,255.3,240.7,247.05,245.85,247.05,3704184,915135998.4,39101,978482,26.42
BHEL,EQ,04-Jun-2015,245.85,246.9,249.7,242.1,248,248,246.01,1897618,466829772.35,21883,304283,16.03
BHEL,EQ,05-Jun-2015,248,247.05,252,245.15,246.2,246.75,248.24,2201903,546593024.6,30991,684936,31.11
BHEL,EQ,08-Jun-2015,246.75,246,246.35,241.25,243.5,243.05,243.53,1545126,376279396.65,18874,398561,25.79
BHEL,EQ,09-Jun-2015,243.05,241.2,245.7,240.1,241.75,241.35,242.42,1844745,447209013.5,27495,523003,28.35
BHEL,EQ,10-Jun-2015,241.35,242.9,252.5,242.5,251.1,251.25,249.44,4016896,1001967575.55,48820,1249260,31.1
BHEL,EQ,11-Jun-2015,251.25,252.15,253.4,242.6,244.15,243.75,246.99,2896428,715397410.4,33325,926311,31.98
BHEL,EQ,12-Jun-2015,243.75,243,249.5,241.9,248.5,248.3,246.3,2399888,591081479.8,25980,941532,39.23
BHEL,EQ,15-Jun-2015,248.3,248.5,251.3,246.35,247.45,247.8,249.18,2445202,609302308.1,21070,956027,39.1
